Virat Kohli: Swiggy's 'Sorry Mango' Tweet For RCB Star After 6th IPL Century Burns The Internet,"© Provided by Times Now virat kohli: swiggy's 'sorry mango' tweet for rcb star after 6th ipl century burns the internet

Royal Challengers Bangalore (RCB) star batsman, Virat Kohli smashed his sixth IPL century against Sunrisers Hyderabad (SRH) in just 63 balls to lead his team to their seventh win in the 16th edition of the Indian Premier League (IPL). For the Kohli fans, it was a moment of joy since it was his IPL century since 2019.

Following Virat's ton, the online grocery partner, 'Swiggy Instamart' shared a quirky tweet and soon after it was posted, it went viral and gained more than 1 million views on the social networking site. Swiggy Instamart wrote, ""Sorry mango.. cheeku is the real King.""

Even though the online delivery site hasn't taken any names but the cricket fans were smart to get the connection. On May 10th, RCB lost the 54th match of the IPL against Mumbai Indians by six wickets after which Lucknow Super Giants (LSG) bowler Naveen-ul-Haq shared a photo of him eating mangoes while watching the game and wrote 'Sweet Mangoes'. Meanwhile, Virat Kohli once in an interview said that Cheeku or Sapodilla is his favorite fruit. So, apparently, the Virat Kohli fans get the link to the tweet and have flooded with savage replies.

On May 1st, the Bangalore franchise faced LSG, and won the game by 18 runs. After the match, things got heated up as Afghanistan pacer and Virat Kohli had an on-field spat. LSG coach Gautam Gambhir was equally involved in the heated moment. The teams might once again square off later in the tournament.

RCB will square off against Gujarat Titan (GT) on Sunday (May 21) at 7:30 PM IST in their upcoming fixture of the IPL 2023. It will be a must-win match for the Faf du Plessis' side if they want to confirm their spot in the knockout stage of the tournament. After winning seven games out of 11 league matches, RCB are at fourth place on the IPL 2023 points table.

© Provided by Times Now",FAKE
,Please click here if the page does not redirect automatically ...,FAKE
Optical illusion personality test: What you see first reveals people’s first impression of you,"There are many mind-boggling illusions over the internet but this one particular illusion has captured the attention of many.

What makes this one illusion quite interesting is that whatever the viewers see first in this image, it tells a lot about their personality.

Look at the illustration below and tell us what did you see first:

100306189

This mind-bending visual can tell a lot about people's first impressions of you. The illusion features a pride of lions lounging by a tree in a wild nature scene. However, some viewers have spotted a hidden face within the image - a lioness formed by the branches of the tree. The image - posted to TikTok by user Mia Yilin - suggests that what people see in the image first could reveal a lot about their personality.

According to the image, there are two categories of people - those who saw the tree first, and those who saw the lioness first. If you saw the tree first, you may be someone who seeks solitude and prefers staying at home to socializing with others.

While you try to be happy, it can be hard for you to shake off negative feelings and move on quickly. If, on the other hand, you spotted the lioness first, you might feel awkward in social situations and dislike small talk, which could lead to feelings of being outcast or misunderstood.

READ ALSO: Personality test: What you see first in this shiny image can reveal if you are introvert or extrovert

If an individual notices the image of a lion, they are viewed as socially aloof and disliking small talk, giving the impression of a cold and distant personality. However, as one gets to know that individual better, their natural demeanour is revealed. On the other hand, if the image of a tree is the first to be noticed, people may perceive the individual as a friendly and outgoing social butterfly. Nevertheless, deep down, the individual knows that this perception is not entirely true.",FAKE
,Please click here if the page does not redirect automatically ...,FAKE
Virat Kohli: Swiggy's 'Sorry Mango' Tweet For RCB Star After 6th IPL Century Burns The Internet,"© Provided by Times Now virat kohli: swiggy's 'sorry mango' tweet for rcb star after 6th ipl century burns the internet

Royal Challengers Bangalore (RCB) star batsman, Virat Kohli smashed his sixth IPL century against Sunrisers Hyderabad (SRH) in just 63 balls to lead his team to their seventh win in the 16th edition of the Indian Premier League (IPL). For the Kohli fans, it was a moment of joy since it was his IPL century since 2019.

Following Virat's ton, the online grocery partner, 'Swiggy Instamart' shared a quirky tweet and soon after it was posted, it went viral and gained more than 1 million views on the social networking site. Swiggy Instamart wrote, ""Sorry mango.. cheeku is the real King.""

Even though the online delivery site hasn't taken any names but the cricket fans were smart to get the connection. On May 10th, RCB lost the 54th match of the IPL against Mumbai Indians by six wickets after which Lucknow Super Giants (LSG) bowler Naveen-ul-Haq shared a photo of him eating mangoes while watching the game and wrote 'Sweet Mangoes'. Meanwhile, Virat Kohli once in an interview said that Cheeku or Sapodilla is his favorite fruit. So, apparently, the Virat Kohli fans get the link to the tweet and have flooded with savage replies.

On May 1st, the Bangalore franchise faced LSG, and won the game by 18 runs. After the match, things got heated up as Afghanistan pacer and Virat Kohli had an on-field spat. LSG coach Gautam Gambhir was equally involved in the heated moment. The teams might once again square off later in the tournament.

RCB will square off against Gujarat Titan (GT) on Sunday (May 21) at 7:30 PM IST in their upcoming fixture of the IPL 2023. It will be a must-win match for the Faf du Plessis' side if they want to confirm their spot in the knockout stage of the tournament. After winning seven games out of 11 league matches, RCB are at fourth place on the IPL 2023 points table.

© Provided by Times Now",FAKE
Greta Thunberg: German police deny protest detainment was staged,"""I've seen different reactions to the video. Some say that the footage looks like the police are setting her up to embarrass her and others say that it is all part of some propaganda.",REAL
Virat Kohli: Swiggy's 'Sorry Mango' Tweet For RCB Star After 6th IPL Century Burns The Internet,"© Provided by Times Now virat kohli: swiggy's 'sorry mango' tweet for rcb star after 6th ipl century burns the internet

Royal Challengers Bangalore (RCB) star batsman, Virat Kohli smashed his sixth IPL century against Sunrisers Hyderabad (SRH) in just 63 balls to lead his team to their seventh win in the 16th edition of the Indian Premier League (IPL). For the Kohli fans, it was a moment of joy since it was his IPL century since 2019.

Following Virat's ton, the online grocery partner, 'Swiggy Instamart' shared a quirky tweet and soon after it was posted, it went viral and gained more than 1 million views on the social networking site. Swiggy Instamart wrote, ""Sorry mango.. cheeku is the real King.""

Even though the online delivery site hasn't taken any names but the cricket fans were smart to get the connection. On May 10th, RCB lost the 54th match of the IPL against Mumbai Indians by six wickets after which Lucknow Super Giants (LSG) bowler Naveen-ul-Haq shared a photo of him eating mangoes while watching the game and wrote 'Sweet Mangoes'. Meanwhile, Virat Kohli once in an interview said that Cheeku or Sapodilla is his favorite fruit. So, apparently, the Virat Kohli fans get the link to the tweet and have flooded with savage replies.

On May 1st, the Bangalore franchise faced LSG, and won the game by 18 runs. After the match, things got heated up as Afghanistan pacer and Virat Kohli had an on-field spat. LSG coach Gautam Gambhir was equally involved in the heated moment. The teams might once again square off later in the tournament.

RCB will square off against Gujarat Titan (GT) on Sunday (May 21) at 7:30 PM IST in their upcoming fixture of the IPL 2023. It will be a must-win match for the Faf du Plessis' side if they want to confirm their spot in the knockout stage of the tournament. After winning seven games out of 11 league matches, RCB are at fourth place on the IPL 2023 points table.

© Provided by Times Now",FAKE
Optical illusion personality test: What you see first reveals people’s first impression of you,"There are many mind-boggling illusions over the internet but this one particular illusion has captured the attention of many.

What makes this one illusion quite interesting is that whatever the viewers see first in this image, it tells a lot about their personality.

Look at the illustration below and tell us what did you see first:

100306189

This mind-bending visual can tell a lot about people's first impressions of you. The illusion features a pride of lions lounging by a tree in a wild nature scene. However, some viewers have spotted a hidden face within the image - a lioness formed by the branches of the tree. The image - posted to TikTok by user Mia Yilin - suggests that what people see in the image first could reveal a lot about their personality.

According to the image, there are two categories of people - those who saw the tree first, and those who saw the lioness first. If you saw the tree first, you may be someone who seeks solitude and prefers staying at home to socializing with others.

While you try to be happy, it can be hard for you to shake off negative feelings and move on quickly. If, on the other hand, you spotted the lioness first, you might feel awkward in social situations and dislike small talk, which could lead to feelings of being outcast or misunderstood.

READ ALSO: Personality test: What you see first in this shiny image can reveal if you are introvert or extrovert

If an individual notices the image of a lion, they are viewed as socially aloof and disliking small talk, giving the impression of a cold and distant personality. However, as one gets to know that individual better, their natural demeanour is revealed. On the other hand, if the image of a tree is the first to be noticed, people may perceive the individual as a friendly and outgoing social butterfly. Nevertheless, deep down, the individual knows that this perception is not entirely true.",FAKE
Greta Thunberg: German police deny protest detainment was staged,"""I've seen different reactions to the video. Some say that the footage looks like the police are setting her up to embarrass her and others say that it is all part of some propaganda.",REAL
Difference Between fork and clone in GitHub,"In GitHub when we want to work on someone else project we usually do either cloning or forking. In this article, we will learn what is the difference between fork and clone in Github. Forking is a concept while cloning is a process operated over a repository which we are supposed to discuss here.

Note: They are very important or a developer can consider it as a first step towards development in computer programming.

Concept: Fork a repository

Fork is an operation been perform over the projects as real big projects contain chunks of pieces of code consisting of 1000 lines. Here if we try to do changes and if something goes wrong then it becomes very tedious for a programmer or community to correct it. So using this Fork operation we are creating a copy of the repository in which changes are supposed to be made and reflected without affecting the original project.

There is a connection that exists between the fork of a repository and the original repository itself.

The fork acts as a bridge between the original repository and the personal copy of the repository where we can make changes. After making the changes we can contribute back to the original repository using Pull Requests. Now let us discuss a very simple procedure to fork a repository from below listed simple 2 steps which are as predicted with help of visual aid below.

Open any repository on Github

Just click the Fork button in the header of a repository.

Note: It will take some time and when the process is complete, the forked copy of the project will open. Now let us see what Clone stands for in developing projects or be it a smaller program.

Process: Clone a Repository

When we create a new repository on GitHub or Any repository on Github, it exists as a remote location where our / any other repository is stored. Cloning a repository creates a local copy on our computer so that we can sync between both the local and remote locations of the repository.

we can not contribute to the repository unless we are made the collaborator of the repository. Cloning is an ideal case when one wants to get his own copy of a repository where he may not be contributing to the original project.

How to clone a repository?

Open any repository on Github

Click on the code button to get the repository’s HTTPS or SSH URL.

We are ready to perform the clone using the git clone command in the command-line interface as depicted in below visual aid.

Now let us discuss the conclusive differences between Fork and Clone operation over a repository, been depicted below in a tabular format provided below as follows:",FAKE
